"LOCATION","Country","VAR","Variable","EDI","Edition","FREQUENCY","Frequency","TIME","Time","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"AUT","Austria","201","Index of industrial production","201803","March 2018","M","Monthly","2015-01","Jan-2015","IDX","Index","0","Units",,,109.78,,
"AUT","Austria","201","Index of industrial production","201803","March 2018","M","Monthly","2015-02","Feb-2015","IDX","Index","0","Units",,,108.38,,
"AUT","Austria","201","Index of industrial production","201803","March 2018","M","Monthly","2015-03","Mar-2015","IDX","Index","0","Units",,,108.78,,
"AUT","Austria","201","Index of industrial production","201803","March 2018","M","Monthly","2015-04","Apr-2015","IDX","Index","0","Units",,,108.48,,
"AUT","Austria","201","Index of industrial production","201803","March 2018","M","Monthly","2015-05","May-2015","IDX","Index","0","Units",,,107.98,,
"AUT","Austria","201","Index of industrial production","201803","March 2018","M","Monthly","2015-06","Jun-2015","IDX","Index","0","Units",,,109.08,,
"AUT","Austria","201","Index of industrial production","201803","March 2018","M","Monthly","2015-07","Jul-2015","IDX","Index","0","Units",,,109.18,,
"AUT","Austria","201","Index of industrial production","201803","March 2018","M","Monthly","2015-08","Aug-2015","IDX","Index","0","Units",,,108.48,,
"AUT","Austria","201","Index of industrial production","201803","March 2018","M","Monthly","2015-09","Sep-2015","IDX","Index","0","Units",,,108.68,,
"AUT","Austria","201","Index of industrial production","201803","March 2018","M","Monthly","2015-10","Oct-2015","IDX","Index","0","Units",,,109.08,,
"AUT","Austria","201","Index of industrial production","201803","March 2018","M","Monthly","2015-11","Nov-2015","IDX","Index","0","Units",,,109.18,,
"AUT","Austria","201","Index of industrial production","201803","March 2018","M","Monthly","2015-12","Dec-2015","IDX","Index","0","Units",,,108.08,,
"AUT","Austria","201","Index of industrial production","201803","March 2018","M","Monthly","2016-01","Jan-2016","IDX","Index","0","Units",,,113.08,,
"AUT","Austria","201","Index of industrial production","201803","March 2018","M","Monthly","2016-02","Feb-2016","IDX","Index","0","Units",,,111.18,,
"AUT","Austria","201","Index of industrial production","201803","March 2018","M","Monthly","2016-03","Mar-2016","IDX","Index","0","Units",,,111.28,,
"AUT","Austria","201","Index of industrial production","201803","March 2018","M","Monthly","2016-04","Apr-2016","IDX","Index","0","Units",,,110.88,,
"AUT","Austria","201","Index of industrial production","201803","March 2018","M","Monthly","2016-05","May-2016","IDX","Index","0","Units",,,110.18,,
"AUT","Austria","201","Index of industrial production","201803","March 2018","M","Monthly","2016-06","Jun-2016","IDX","Index","0","Units",,,110.38,,
"AUT","Austria","201","Index of industrial production","201803","March 2018","M","Monthly","2016-07","Jul-2016","IDX","Index","0","Units",,,109.88,,
"AUT","Austria","201","Index of industrial production","201803","March 2018","M","Monthly","2016-08","Aug-2016","IDX","Index","0","Units",,,111.68,,
"AUT","Austria","201","Index of industrial production","201803","March 2018","M","Monthly","2016-09","Sep-2016","IDX","Index","0","Units",,,111.08,,
"AUT","Austria","201","Index of industrial production","201803","March 2018","M","Monthly","2016-10","Oct-2016","IDX","Index","0","Units",,,111.78,,
"AUT","Austria","201","Index of industrial production","201803","March 2018","M","Monthly","2016-11","Nov-2016","IDX","Index","0","Units",,,113.28,,
"AUT","Austria","201","Index of industrial production","201803","March 2018","M","Monthly","2016-12","Dec-2016","IDX","Index","0","Units",,,112.88,,
"AUT","Austria","201","Index of industrial production","201803","March 2018","M","Monthly","2017-01","Jan-2017","IDX","Index","0","Units",,,111.28,,
"AUT","Austria","201","Index of industrial production","201803","March 2018","M","Monthly","2017-02","Feb-2017","IDX","Index","0","Units",,,113.88,,
"AUT","Austria","201","Index of industrial production","201803","March 2018","M","Monthly","2017-03","Mar-2017","IDX","Index","0","Units",,,114.28,,
"AUT","Austria","201","Index of industrial production","201803","March 2018","M","Monthly","2017-04","Apr-2017","IDX","Index","0","Units",,,114.18,,
"AUT","Austria","201","Index of industrial production","201803","March 2018","M","Monthly","2017-05","May-2017","IDX","Index","0","Units",,,114.88,,
"AUT","Austria","201","Index of industrial production","201803","March 2018","M","Monthly","2017-06","Jun-2017","IDX","Index","0","Units",,,114.98,,
"AUT","Austria","201","Index of industrial production","201803","March 2018","M","Monthly","2017-07","Jul-2017","IDX","Index","0","Units",,,115.98,,
"AUT","Austria","201","Index of industrial production","201803","March 2018","M","Monthly","2017-08","Aug-2017","IDX","Index","0","Units",,,116.48,,
"AUT","Austria","201","Index of industrial production","201803","March 2018","M","Monthly","2017-09","Sep-2017","IDX","Index","0","Units",,,116.48,,
"AUT","Austria","201","Index of industrial production","201803","March 2018","M","Monthly","2017-10","Oct-2017","IDX","Index","0","Units",,,117.08,,
"AUT","Austria","201","Index of industrial production","201803","March 2018","M","Monthly","2017-11","Nov-2017","IDX","Index","0","Units",,,118.08,,
"AUT","Austria","201","Index of industrial production","201803","March 2018","M","Monthly","2017-12","Dec-2017","IDX","Index","0","Units",,,116.88,,
"BEL","Belgium","201","Index of industrial production","201803","March 2018","M","Monthly","2015-01","Jan-2015","IDX","Index","0","Units",,,104.98,,
"BEL","Belgium","201","Index of industrial production","201803","March 2018","M","Monthly","2015-02","Feb-2015","IDX","Index","0","Units",,,101.48,,
"BEL","Belgium","201","Index of industrial production","201803","March 2018","M","Monthly","2015-03","Mar-2015","IDX","Index","0","Units",,,105.08,,
"BEL","Belgium","201","Index of industrial production","201803","March 2018","M","Monthly","2015-04","Apr-2015","IDX","Index","0","Units",,,104.68,,
"BEL","Belgium","201","Index of industrial production","201803","March 2018","M","Monthly","2015-05","May-2015","IDX","Index","0","Units",,,104.58,,
"BEL","Belgium","201","Index of industrial production","201803","March 2018","M","Monthly","2015-06","Jun-2015","IDX","Index","0","Units",,,102.08,,
"BEL","Belgium","201","Index of industrial production","201803","March 2018","M","Monthly","2015-07","Jul-2015","IDX","Index","0","Units",,,103.08,,
"BEL","Belgium","201","Index of industrial production","201803","March 2018","M","Monthly","2015-08","Aug-2015","IDX","Index","0","Units",,,103.58,,
"BEL","Belgium","201","Index of industrial production","201803","March 2018","M","Monthly","2015-09","Sep-2015","IDX","Index","0","Units",,,104.98,,
"BEL","Belgium","201","Index of industrial production","201803","March 2018","M","Monthly","2015-10","Oct-2015","IDX","Index","0","Units",,,105.48,,
"BEL","Belgium","201","Index of industrial production","201803","March 2018","M","Monthly","2015-11","Nov-2015","IDX","Index","0","Units",,,107.18,,
"BEL","Belgium","201","Index of industrial production","201803","March 2018","M","Monthly","2015-12","Dec-2015","IDX","Index","0","Units",,,103.28,,
"BEL","Belgium","201","Index of industrial production","201803","March 2018","M","Monthly","2016-01","Jan-2016","IDX","Index","0","Units",,,109.98,,
"BEL","Belgium","201","Index of industrial production","201803","March 2018","M","Monthly","2016-02","Feb-2016","IDX","Index","0","Units",,,107.88,,
"BEL","Belgium","201","Index of industrial production","201803","March 2018","M","Monthly","2016-03","Mar-2016","IDX","Index","0","Units",,,107.68,,
"BEL","Belgium","201","Index of industrial production","201803","March 2018","M","Monthly","2016-04","Apr-2016","IDX","Index","0","Units",,,108.48,,
"BEL","Belgium","201","Index of industrial production","201803","March 2018","M","Monthly","2016-05","May-2016","IDX","Index","0","Units",,,105.98,,
"BEL","Belgium","201","Index of industrial production","201803","March 2018","M","Monthly","2016-06","Jun-2016","IDX","Index","0","Units",,,107.28,,
"BEL","Belgium","201","Index of industrial production","201803","March 2018","M","Monthly","2016-07","Jul-2016","IDX","Index","0","Units",,,110.28,,
"BEL","Belgium","201","Index of industrial production","201803","March 2018","M","Monthly","2016-08","Aug-2016","IDX","Index","0","Units",,,109.38,,
"BEL","Belgium","201","Index of industrial production","201803","March 2018","M","Monthly","2016-09","Sep-2016","IDX","Index","0","Units",,,106.98,,
"BEL","Belgium","201","Index of industrial production","201803","March 2018","M","Monthly","2016-10","Oct-2016","IDX","Index","0","Units",,,107.88,,
"BEL","Belgium","201","Index of industrial production","201803","March 2018","M","Monthly","2016-11","Nov-2016","IDX","Index","0","Units",,,108.78,,
"BEL","Belgium","201","Index of industrial production","201803","March 2018","M","Monthly","2016-12","Dec-2016","IDX","Index","0","Units",,,113.88,,
"BEL","Belgium","201","Index of industrial production","201803","March 2018","M","Monthly","2017-01","Jan-2017","IDX","Index","0","Units",,,108.38,,
